country,year,population,population_growth_rate,fertility_rate,median_age,urban_population,population_density,continent,income_group
Luxembourg,1960,80753643,3.21,7.1,21.2,16.8,12.37,Europe,High income
Madagascar,1960,89614325,3.26,7.24,20.9,23.6,10.79,Africa,Low income
Malawi,1960,31834447,3.6,7.2,19.2,24.0,243.0,Africa,Low income
Maldives,1960,11049689,3.32,7.03,18.7,20.8,2.62,Asia,Upper middle income
Mali,1960,22832119,3.69,7.34,19.0,18.8,3.87,Africa,Low income
Malta,1960,42739423,3.57,7.41,20.2,19.4,14.51,Europe,High income
Mauritania,1960,81810575,3.66,7.14,21.5,19.9,9.15,Africa,Lower middle income
Mauritius,1960,86080021,3.46,7.02,19.1,20.4,13.59,Africa,Upper middle income
Moldova,1960,744865,3.28,7.83,21.9,20.3,0.43,Europe,Upper middle income
Mongolia,1960,51099192,3.21,7.91,18.5,20.8,18.64,Asia,Lower middle income
Montenegro,1960,41770229,3.59,7.83,18.8,15.1,30.5,Europe,Upper middle income
Mozambique,1960,22249675,3.72,7.6,20.4,21.7,12.68,Africa,Low income
Namibia,1960,12030543,3.45,7.38,20.1,15.5,7.23,Africa,Upper middle income
Nepal,1960,33794636,3.25,7.6,19.0,18.9,11.7,Asia,Lower middle income
Nicaragua,1960,94293824,3.63,7.3,20.3,19.8,14.21,North America,Lower middle income
Niger,1960,32354133,3.64,7.21,18.1,17.6,5.44,Africa,Low income
North Korea,1960,51903122,3.5,7.6,19.3,22.7,48.65,Asia,Lower middle income
Oman,1960,70316744,3.64,7.5,20.8,19.3,28.53,Asia,High income
Panama,1960,36394778,3.68,7.69,19.1,20.9,10.08,North America,High income
Papua New Guinea,1960,97179619,3.75,7.14,21.8,19.5,52.47,Oceania,Lower middle income
Paraguay,1960,96246607,3.72,7.73,21.2,21.6,13.9,South America,Upper middle income
Qatar,1960,25215640,3.35,7.49,18.9,24.9,2.67,Asia,High income
Rwanda,1960,49749988,3.62,7.93,18.7,20.7,5.43,Africa,Low income
Senegal,1960,30122787,3.62,7.3,21.7,24.7,3.19,Africa,Lower middle income
Serbia,1960,28519807,3.72,7.84,19.3,23.3,76.86,Europe,Upper middle income
Sierra Leone,1960,3736850,3.34,7.12,18.3,22.0,1.1,Africa,Low income
Slovakia,1960,60975955,3.24,7.32,20.2,22.9,19.13,Europe,High income
Slovenia,1960,50292768,3.73,7.62,18.9,15.2,5.78,Europe,High income
Somalia,1960,5195301,3.72,7.53,21.8,23.0,0.52,Africa,Low income
Sudan,1960,27900714,3.66,7.4,19.9,21.3,3.19,Africa,Lower middle income
Suriname,1960,90831175,3.66,7.42,19.7,22.4,38.03,South America,Upper middle income
Syria,1960,23994210,3.41,7.29,19.2,17.3,56.87,Asia,Lower middle income
Tajikistan,1960,14532242,3.79,7.43,19.5,21.8,6.66,Asia,Lower middle income
Togo,1960,48970803,3.67,7.09,19.7,23.8,5.18,Africa,Low income
Trinidad and Tobago,1960,98565762,3.57,7.17,22.0,17.3,10.46,North America,High income
Tunisia,1960,24243424,3.56,7.51,18.9,16.8,10.99,Africa,Lower middle income
Turkmenistan,1960,67229947,3.67,7.35,18.2,24.7,7.61,Asia,Upper middle income
Uganda,1960,76173880,3.8,7.17,19.6,22.6,10.94,Africa,Low income
United Arab Emirates,1960,23801872,3.69,7.22,18.9,20.4,4.01,Asia,High income
Uruguay,1960,72835224,3.25,7.88,19.1,16.3,8.2,South America,High income
Zambia,1960,36809924,3.72,7.81,20.6,20.5,42.27,Africa,Lower middle income
Afghanistan,1961,75387596,3.37,7.18,21.2,20.6,92.91,Asia,Low income
Albania,1961,190937043,3.56,7.0,21.7,20.6,39.73,Europe,Upper middle income
Algeria,1961,147442073,3.64,7.27,21.0,21.3,55.2,Africa,Lower middle income
Argentina,1961,120860356,3.63,7.58,21.7,24.3,17.06,South America,Upper middle income
Australia,1961,31562718,3.57,7.6,20.8,23.1,19.89,Oceania,High income
Austria,1961,31568143,3.67,6.95,21.6,16.9,9.42,Europe,High income
Bangladesh,1961,271453276,3.25,7.74,21.6,20.7,4185.71,Asia,Lower middle income
Belgium,1961,174054576,3.52,7.9,20.8,18.2,27.45,Europe,High income
Brazil,1961,1855304654,3.62,7.03,21.3,21.0,192.66,South America,Upper middle income
Bulgaria,1961,142360887,3.53,7.85,18.7,25.0,20.69,Europe,Upper middle income
Canada,1961,4227519,3.33,7.63,18.6,21.4,1.22,North America,High income
Chile,1961,195373090,3.18,7.79,22.2,25.3,26.06,South America,High income
China,1961,2534571371,3.6,6.94,18.4,18.8,518.64,Asia,Upper middle income
Colombia,1961,42898737,3.56,7.37,19.4,25.6,10.06,South America,Upper middle income
Croatia,1961,36661282,3.25,7.71,21.1,17.8,44.45,Europe,High income
Czech Republic,1961,37042051,3.54,7.19,22.1,17.1,8.57,Europe,High income
Denmark,1961,61501353,3.4,7.56,19.9,18.3,6.25,Europe,High income
Egypt,1961,105583564,3.69,7.15,19.2,15.9,16.2,Africa,Lower middle income
Ethiopia,1961,86900785,3.67,7.39,22.2,17.5,10.0,Africa,Lower middle income
Finland,1961,58802086,3.61,7.76,21.3,21.9,44.77,Europe,High income
France,1961,260981091,3.7,7.54,21.5,20.4,222.31,Europe,High income
Germany,1961,90527991,3.56,7.35,19.1,20.5,140.78,Europe,High income
Ghana,1961,58901241,3.31,7.72,19.5,20.2,502.6,Africa,Lower middle income
Greece,1961,73558884,3.39,7.4,20.7,18.5,10.58,Europe,High income
Hungary,1961,92085200,3.62,6.96,20.2,16.6,38.03,Europe,High income
India,1961,2406559854,3.24,7.42,20.8,22.6,429.98,Asia,Lower middle income
Indonesia,1961,680801096,3.35,7.44,18.7,19.1,2044.46,Asia,Lower middle income
Iran,1961,225819776,3.39,7.05,20.6,22.5,28.21,Asia,Upper middle income
Iraq,1961,118997827,3.25,7.02,20.8,22.7,375.59,Asia,Upper middle income
Ireland,1961,9474788,3.18,7.46,21.1,24.3,1.33,Europe,High income
Israel,1961,122582791,3.35,7.73,18.6,24.5,22.38,Asia,High income
Italy,1961,102263507,3.42,7.56,20.4,22.9,125.14,Europe,High income
Japan,1961,289501767,3.3,7.08,21.8,17.8,29.67,Asia,High income
Jordan,1961,190736053,3.26,7.71,20.9,20.6,34.34,Asia,Upper middle income
Kenya,1961,194654178,3.29,7.92,22.2,22.1,97.51,Africa,Lower middle income
Malaysia,1961,162927627,3.19,6.95,19.3,20.2,18.76,Asia,Upper middle income
Mexico,1961,150851142,3.6,7.35,19.7,19.3,15.27,North America,Upper middle income
Morocco,1961,19679612,3.67,7.5,20.1,22.9,4.04,Africa,Lower middle income
Myanmar,1961,138116831,3.69,7.34,19.4,21.5,15.14,Asia,Lower middle income
Netherlands,1961,88445818,3.52,7.55,21.2,16.9,12.36,Europe,High income
New Zealand,1961,24723650,3.26,7.16,22.2,17.4,2.89,Oceania,High income
Nigeria,1961,1551311509,3.3,7.79,20.1,20.7,431.76,Africa,Lower middle income
Norway,1961,7022709,3.25,7.31,22.2,18.2,1.07,Europe,High income
Pakistan,1961,2762003315,3.61,7.05,22.2,20.1,1169.71,Asia,Lower middle income
Peru,1961,51988239,3.25,7.44,19.6,23.9,12.06,South America,Upper middle income
Philippines,1961,279723622,3.52,7.63,19.0,17.3,760.79,Asia,Lower middle income
Poland,1961,62911691,3.55,7.39,21.7,23.7,10.75,Europe,High income
Portugal,1961,104999259,3.27,7.03,19.4,16.2,19.77,Europe,High income
Romania,1961,110429089,3.17,7.04,20.1,24.9,34.92,Europe,Upper middle income
Russia,1961,640087305,3.17,7.07,22.2,25.3,12701.44,Europe,Upper middle income
Saudi Arabia,1961,195788794,3.53,7.79,20.1,20.8,40.05,Asia,High income
Singapore,1961,156211970,3.23,6.95,19.5,22.6,77.36,Asia,High income
South Africa,1961,189324448,3.73,7.01,21.0,20.0,21.81,Africa,Upper middle income
South Korea,1961,179661113,3.57,7.76,22.1,22.4,36.13,Asia,High income
Spain,1961,120473427,3.67,7.49,18.4,24.9,17.47,Europe,High income
Sri Lanka,1961,185778931,3.28,7.58,19.9,22.1,174.14,Asia,Lower middle income
Sweden,1961,17921876,3.75,6.97,22.2,19.7,2.06,Europe,High income
Switzerland,1961,39605589,3.49,7.66,21.8,19.6,12.11,Europe,High income
Taiwan,1961,9209545,3.63,7.68,21.5,20.0,1.13,Asia,High income
Tanzania,1961,65355055,3.48,6.93,19.6,19.3,16.49,Africa,Low income
Thailand,1961,181311903,3.38,7.37,19.3,19.3,79.75,Asia,Upper middle income
Turkey,1961,138105386,3.51,7.59,20.8,20.2,36.36,Asia,Upper middle income
Ukraine,1961,167252137,3.46,7.4,18.4,19.0,43.98,Europe,Lower middle income
United Kingdom,1961,169355939,3.5,7.45,20.7,23.2,20.83,Europe,High income
United States,1961,921922301,3.72,6.94,19.1,15.7,142.38,North America,High income
Uzbekistan,1961,109587599,3.3,7.85,18.5,24.9,31.16,Asia,Lower middle income
Venezuela,1961,28362919,3.44,7.18,19.4,18.7,3.53,South America,Upper middle income
Vietnam,1961,330942094,3.34,7.53,21.2,18.3,80.01,Asia,Lower middle income
Yemen,1961,15053887,3.26,7.6,19.0,20.9,2.12,Asia,Lower middle income
Zimbabwe,1961,198030259,3.49,7.18,22.2,20.4,24.57,Africa,Lower middle income
Angola,1961,155495209,3.18,7.55,22.1,21.6,18.98,Africa,Lower middle income
Azerbaijan,1961,40186856,3.29,7.13,20.7,19.7,4.78,Asia,Upper middle income
Belarus,1961,1215005,3.36,7.16,21.4,18.3,0.15,Europe,Upper middle income
Belize,1961,164036745,3.55,7.02,20.8,20.1,27.96,North America,Upper middle income
Benin,1961,141932383,3.59,7.78,19.2,16.6,597.96,Africa,Lower middle income
Bhutan,1961,146895073,3.51,7.47,19.2,19.5,24.71,Asia,Lower middle income
Bolivia,1961,155237284,3.74,7.06,21.1,19.6,36.25,South America,Lower middle income
Botswana,1961,15018961,3.57,7.91,18.8,16.6,2.07,Africa,Upper middle income
Brunei,1961,72247893,3.31,7.0,18.6,24.5,37.64,Asia,High income
Burkina Faso,1961,23376780,3.29,7.27,18.6,20.8,34.53,Africa,Low income
Burundi,1961,174102002,3.29,7.46,21.8,22.1,32.66,Africa,Low income
Cambodia,1961,125312270,3.35,7.59,22.3,22.2,22.46,Asia,Lower middle income
Cameroon,1961,66775073,3.43,6.98,20.5,25.2,38.07,Africa,Lower middle income
Cape Verde,1961,12903580,3.27,7.46,18.7,20.1,1.71,Africa,Lower middle income
Central African Republic,1961,62583293,3.55,7.72,22.0,17.9,15.67,Africa,Low income
Chad,1961,65341291,3.75,7.85,20.5,24.0,12.54,Africa,Low income
Comoros,1961,146995569,3.2,7.68,18.8,23.9,18.8,Africa,Lower middle income
Congo,1961,128544445,3.17,7.22,19.4,19.2,146.52,Africa,Lower middle income
Costa Rica,1961,179144202,3.48,7.23,19.9,20.1,29.83,North America,Upper middle income
Cuba,1961,95097381,3.7,7.42,22.3,24.1,45.59,North America,Upper middle income
Cyprus,1961,24234427,3.22,7.74,19.8,24.4,2.79,Asia,High income
Djibouti,1961,143896545,3.62,7.22,18.6,19.6,82.89,Africa,Lower middle income
Dominican Republic,1961,153354390,3.36,7.9,20.9,23.8,115.64,North America,Upper middle income
Ecuador,1961,113305932,3.7,7.41,20.7,23.2,64.78,South America,Upper middle income
El Salvador,1961,155183010,3.39,7.07,19.8,16.3,598.95,North America,Upper middle income
Equatorial Guinea,1961,99156878,3.73,7.47,22.2,19.9,31.79,Africa,Upper middle income
Eritrea,1961,105252723,3.41,7.03,20.9,17.8,16.99,Africa,Low income
Estonia,1961,86196526,3.24,6.98,21.4,20.2,147.96,Europe,High income
Fiji,1961,5232888,3.18,7.62,22.2,18.0,3.68,Oceania,Upper middle income
Gabon,1961,21741379,3.33,7.02,21.1,16.2,4.27,Africa,Upper middle income
Gambia,1961,6446353,3.64,7.54,19.5,21.8,1.22,Africa,Low income
Georgia,1961,128043487,3.23,7.81,20.1,17.5,34.81,Asia,Upper middle income
Guatemala,1961,63292544,3.65,7.65,21.4,15.7,15.21,North America,Upper middle income
Guinea,1961,102384967,3.16,7.18,21.3,17.0,19.12,Africa,Low income
Guinea-Bissau,1961,182269209,3.16,7.16,22.2,23.6,18.99,Africa,Low income
Guyana,1961,50241005,3.22,7.47,20.1,24.0,51.18,South America,Upper middle income
Haiti,1961,82641571,3.24,7.24,21.2,20.4,21.98,North America,Lower middle income
Honduras,1961,151959525,3.43,7.71,21.9,25.2,19.31,North America,Lower middle income
Iceland,1961,46059740,3.56,7.36,19.3,24.0,119.57,Europe,High income
Jamaica,1961,15631733,3.43,7.56,20.9,24.6,2.46,North America,Upper middle income
Kazakhstan,1961,58433464,3.19,7.44,18.9,23.0,11.41,Asia,Upper middle income
Kuwait,1961,32573846,3.18,7.0,21.2,16.3,45.65,Asia,High income
Kyrgyzstan,1961,186428239,3.72,7.66,19.7,18.6,53.3,Asia,Lower middle income
Laos,1961,162986296,3.55,7.11,19.0,16.6,24.68,Asia,Lower middle income
Latvia,1961,127760488,3.31,6.94,18.6,25.3,43.23,Europe,High income
Lebanon,1961,175746108,3.52,7.3,19.1,16.8,28.57,Asia,Upper middle income
Lesotho,1961,162089669,3.54,7.45,18.5,25.3,20.29,Africa,Lower middle income
Liberia,1961,37570942,3.74,7.52,20.6,23.1,4.63,Africa,Low income
Libya,1961,179847618,3.23,7.26,22.0,17.8,48.32,Africa,Upper middle income
Lithuania,1961,108533910,3.41,7.53,22.1,18.0,89.26,Europe,High income
Luxembourg,1961,162150153,3.68,7.57,19.4,23.8,18.82,Europe,High income
Madagascar,1961,180814375,3.7,7.17,21.3,20.2,21.47,Africa,Low income
Malawi,1961,64175855,3.62,7.58,19.0,21.1,6.52,Africa,Low income
Maldives,1961,22309963,3.18,7.08,18.8,22.9,2.73,Asia,Upper middle income
Mali,1961,45851494,3.45,7.76,21.2,21.0,7.77,Africa,Low income
Malta,1961,86018366,3.33,7.49,21.1,24.3,13.52,Europe,High income
Mauritania,1961,164964014,3.25,7.38,18.3,18.1,22.71,Africa,Lower middle income
Mauritius,1961,173870805,3.21,7.32,21.5,17.6,31.32,Africa,Upper middle income
Moldova,1961,1501643,3.52,7.11,19.7,23.4,0.27,Europe,Upper middle income
Mongolia,1961,102457850,3.61,6.96,21.3,17.6,10.69,Asia,Lower middle income
Montenegro,1961,83979777,3.35,7.07,19.5,24.4,8.43,Europe,Upper middle income
Mozambique,1961,44733485,3.42,7.64,21.8,21.5,11.42,Africa,Low income
Namibia,1961,24195679,3.57,6.92,20.8,19.2,3.05,Africa,Upper middle income
Nepal,1961,67805351,3.5,7.4,20.9,16.2,11.69,Asia,Lower middle income
Nicaragua,1961,189853092,3.49,7.52,21.0,23.6,70.34,North America,Lower middle income
Niger,1961,65270356,3.45,7.0,18.5,18.9,8.32,Africa,Low income
North Korea,1961,104616598,3.62,7.44,20.1,17.1,31.87,Asia,Lower middle income
Oman,1961,141442731,3.2,7.14,20.7,23.0,14.17,Asia,High income
Panama,1961,73480831,3.54,7.34,20.8,23.5,62.05,North America,High income
Papua New Guinea,1961,195442485,3.65,7.3,20.6,21.5,105.9,Oceania,Lower middle income
Paraguay,1961,193497251,3.35,6.95,18.4,23.9,70.84,South America,Upper middle income
Qatar,1961,50753264,3.33,7.86,19.3,19.9,5.82,Asia,High income
Rwanda,1961,100376884,3.26,7.72,20.1,20.4,75.15,Africa,Low income
Senegal,1961,60432578,3.59,7.42,20.0,22.9,7.89,Africa,Lower middle income
Serbia,1961,57250161,3.52,7.06,21.3,22.2,5.98,Europe,Upper middle income
Sierra Leone,1961,7496246,3.18,7.2,19.3,18.1,0.83,Africa,Low income
Slovakia,1961,122484952,3.31,7.68,20.1,23.4,187.12,Europe,High income
Slovenia,1961,101204724,3.17,6.98,21.9,17.0,19.01,Europe,High income
Somalia,1961,10448606,3.36,7.82,18.4,22.2,1.08,Africa,Low income
Sudan,1961,56175310,3.71,6.97,20.0,18.2,7.69,Africa,Lower middle income
Suriname,1961,183453216,3.3,7.57,19.1,21.3,39.54,South America,Upper middle income
Syria,1961,48458158,3.52,7.27,18.8,17.1,21.5,Asia,Lower middle income
Tajikistan,1961,29191833,3.66,7.48,20.4,16.7,3.39,Asia,Lower middle income
Togo,1961,98717293,3.19,7.63,20.5,16.4,21.54,Africa,Low income
Trinidad and Tobago,1961,198340785,3.25,7.87,21.7,22.3,42.9,North America,High income
Tunisia,1961,48757763,3.54,7.47,18.5,20.7,6.05,Africa,Lower middle income
Turkmenistan,1961,135259042,3.18,7.71,19.1,18.2,82.08,Asia,Upper middle income
Uganda,1961,153105820,3.6,7.44,19.1,24.4,17.41,Africa,Low income
United Arab Emirates,1961,48033509,3.29,7.37,22.2,23.3,176.17,Asia,High income
Uruguay,1961,146105795,3.43,7.83,20.5,20.6,138.41,South America,High income
Zambia,1961,74166454,3.64,7.3,21.4,25.2,36.38,Africa,Lower middle income
Afghanistan,1962,151873467,3.27,7.63,20.9,22.5,19.03,Asia,Low income
Albania,1962,384465935,3.65,7.37,19.2,23.2,48.47,Europe,Upper middle income
Algeria,1962,295712973,3.61,7.75,19.7,26.0,210.03,Africa,Lower middle income
Argentina,1962,241470521,3.21,7.73,21.2,17.7,54.83,South America,Upper middle income
Australia,1962,63469571,3.15,7.72,21.8,21.3,6.56,Oceania,High income
Austria,1962,63273277,3.69,7.51,21.1,17.9,7.17,Europe,High income
Bangladesh,1962,547280003,3.2,6.85,20.8,21.5,76.08,Asia,Lower middle income
Belgium,1962,352883994,3.15,7.57,19.3,24.8,43.08,Europe,High income
Brazil,1962,3734947154,3.53,7.15,20.5,24.4,813.15,South America,Upper middle income
Bulgaria,1962,286230953,3.4,7.67,19.9,17.9,40.2,Europe,Upper middle income
